Flow,Avg_Throughput_Mbps,Throughput_CoV,P50_RTT_ms,P99_RTT_ms,Min_RTT,Max_RTT,RTT_CoV,Mean_Cwnd,Min_Cwnd,Max_Cwnd,Cwnd_CoV,FCT_s,Retransmissions
mouse_1,295.7458067814238,0.34112132696674535,1.6199999999999999,1.8033,1.491,1.813,0.06501849243939449,63.868489583333336,29.6953125,94.7421875,0.3986264730865357,0.567285,42
elephant,812.7092074062554,0.1628408145942081,1.7452400000000003,2.37579,1.191,2.404,0.14710042868118262,194.50901041666665,49.4921875,264.4296875,0.2745028215261381,15.000131,1180
mouse_0,355.36140405873965,0.30896104651477985,1.6228000000000002,1.78152,1.497,1.785,0.07669066170419772,83.4296875,69.2890625,96.15625,0.14921031238694077,0.472117,3
mouse_2,328.918584043037,0.19476605842937367,1.6895,1.8368,1.472,1.838,0.09032479148260228,67.875,42.421875,98.984375,0.3634804747927398,0.510072,36
