Flow,Avg_Throughput_Mbps,Throughput_CoV,P50_RTT_ms,P99_RTT_ms,Min_RTT,Max_RTT,RTT_CoV,Mean_Cwnd,Min_Cwnd,Max_Cwnd,Cwnd_CoV,FCT_s,Retransmissions
mouse_1,33.050810361867924,1.7543781747580207,20.465372549019605,22.6255,19.324,23.022,0.032377129626266044,67.29273897058823,9.8984375,439.7734375,1.1390313728034678,5.076189,131
elephant,28.451056758657455,3.1351578861186247,20.436873333333335,22.065959999999997,19.143,22.366,0.026111414274563864,60.30505208333334,8.484375,1395.6796875,2.1633083915979037,15.000161,203
mouse_0,675.8819951093153,0.8147901142947945,21.649666666666665,22.764200000000002,19.747,22.771,0.07651406252989602,1802.4583333333333,251.703125,2705.1015625,0.7484278100071329,0.248227,141
mouse_2,14.70705917479181,0.8529261301062948,20.482095652173914,21.789900000000003,19.379,21.876,0.024884637890105046,35.62207880434783,8.484375,87.671875,0.4670921671213421,11.407594,87
