Flow,Avg_Throughput_Mbps,Throughput_CoV,P50_RTT_ms,P99_RTT_ms,Min_RTT,Max_RTT,RTT_CoV,Mean_Cwnd,Min_Cwnd,Max_Cwnd,Cwnd_CoV,FCT_s,Retransmissions
mouse_0,381.6221404866376,0.3285380105132403,1.4769999999999999,1.58284,1.407,1.584,0.05787276057030178,79.1875,56.5625,93.328125,0.19602230714375132,0.439629,0
mouse_1,322.35980401575557,0.3878178266345075,1.4829999999999999,1.58415,1.386,1.585,0.05935450056551693,66.4609375,38.1796875,84.84375,0.25708608454456533,0.52045,0
elephant,848.5693448583767,0.14806172043132187,1.53202,1.76904,1.17,1.78,0.09036273433249123,171.11098958333332,66.4609375,209.28125,0.18206889832681494,15.000146,0
mouse_2,337.40205571878766,0.3177555081492606,1.5253999999999999,1.63824,1.442,1.642,0.051036541238034805,69.00625,43.8359375,97.5703125,0.27886927600334427,0.497247,0
