Flow,Avg_Throughput_Mbps,Throughput_CoV,P50_RTT_ms,P99_RTT_ms,Min_RTT,Max_RTT,RTT_CoV,Mean_Cwnd,Min_Cwnd,Max_Cwnd,Cwnd_CoV,FCT_s,Retransmissions
mouse_1,78.59487643144409,1.2498476681724975,1.972227272727273,2.33014,1.405,2.365,0.12433412376058942,19.861150568181817,2.828125,98.984375,1.241073148666046,2.134645,15
elephant,837.9494586878443,0.09281639606378021,1.916626666666667,2.39502,1.2,2.513,0.15504294886035117,213.32546875,80.6015625,261.6015625,0.20646569830341507,15.000125,1147
mouse_0,881.457220164447,0.21124406195985096,1.4209999999999998,1.53076,1.309,1.533,0.11146510836438187,139.9921875,97.5703125,182.4140625,0.42854956435548336,0.190335,22
mouse_2,88.1566064058136,1.2765624902554347,2.02445,2.58434,1.259,2.587,0.19186476217192855,23.04921875,4.2421875,67.875,0.9775708597694366,1.903115,32
