Flow,Avg_Throughput_Mbps,Throughput_CoV,P50_RTT_ms,P99_RTT_ms,Min_RTT,Max_RTT,RTT_CoV,Mean_Cwnd,Min_Cwnd,Max_Cwnd,Cwnd_CoV,FCT_s,Retransmissions
mouse_1,32.138764421502984,1.7266470170531025,2.2769622641509435,3.2446399999999995,1.385,3.371,0.1874907749449872,6.136497641509434,2.828125,41.0078125,1.2259805096229224,5.220243,32
elephant,834.2393905976065,0.10739284275755019,1.81264,2.42004,1.255,2.428,0.15255279176453498,191.58661458333333,48.078125,255.9453125,0.20654337050981583,15.000138,866
mouse_0,23.843841547724942,1.4021164422431,2.3813239436619718,3.3274999999999997,1.485,3.387,0.19913434568211655,5.457086267605634,2.828125,28.28125,1.11177372337054,7.036289,8
mouse_2,771.2598722015355,0.04726515529201582,1.4969999999999999,1.75944,1.239,1.765,0.17577992446283608,159.7890625,93.328125,199.3828125,0.36239991556536766,0.21753,21
