Flow,Avg_Throughput_Mbps,Throughput_CoV,P50_RTT_ms,P99_RTT_ms,Min_RTT,Max_RTT,RTT_CoV,Mean_Cwnd,Min_Cwnd,Max_Cwnd,Cwnd_CoV,FCT_s,Retransmissions
mouse_1,291.124032823695,0.6069564942832513,1.4488333333333332,1.60725,1.29,1.61,0.08172677358509212,56.5625,16.96875,91.9140625,0.5463515351859094,0.576291,14
elephant,801.8734821226014,0.1501877734174038,1.5920600000000003,1.86616,1.223,1.885,0.10163409945512923,166.72739583333333,65.046875,214.9375,0.225942429969155,15.000141,1400
mouse_0,322.519065039322,0.3440369443998986,1.3928333333333331,1.5231,1.293,1.529,0.056012768641778087,56.091145833333336,29.6953125,74.9453125,0.2938534227319252,0.520193,27
mouse_2,271.748615115488,0.4762946381761361,1.5081428571428572,1.56568,1.432,1.567,0.03025124425458295,56.76450892857143,19.796875,87.671875,0.4228590689294535,0.61738,6
