Flow,Avg_Throughput_Mbps,Throughput_CoV,P50_RTT_ms,P99_RTT_ms,Min_RTT,Max_RTT,RTT_CoV,Mean_Cwnd,Min_Cwnd,Max_Cwnd,Cwnd_CoV,FCT_s,Retransmissions
mouse_0,311.83083251087777,0.33116116636317866,1.412,1.50195,1.294,1.503,0.05878954862980222,58.68359375,39.59375,82.015625,0.26604417594902213,0.538023,1
mouse_1,359.71578166474416,0.39393872244202227,1.4165999999999996,1.51636,1.209,1.517,0.08743185425189436,76.359375,46.6640625,90.5,0.23966998343601456,0.466402,7
elephant,824.7303546791954,0.1413571075326431,1.6036333333333335,1.9064199999999996,1.184,1.946,0.08967735587081936,174.63671875,62.21875,206.453125,0.18749287118984265,15.000175,18
mouse_2,279.89969986703403,0.38586263067053855,1.4213333333333333,1.4845,1.374,1.486,0.031032442241045198,56.326822916666664,29.6953125,70.703125,0.25769439351326884,0.599401,11
