Flow,Avg_Throughput_Mbps,Throughput_CoV,P50_RTT_ms,P99_RTT_ms,Min_RTT,Max_RTT,RTT_CoV,Mean_Cwnd,Min_Cwnd,Max_Cwnd,Cwnd_CoV,FCT_s,Retransmissions
mouse_1,283.0083482761122,0.47050298935853996,1.545,1.71275,1.315,1.717,0.09126810327296882,63.397135416666664,26.8671875,83.4296875,0.37916028802018964,0.592817,16
elephant,794.7437621711438,0.16464448814679059,1.6433933333333335,1.8916499999999998,1.135,1.963,0.10016358877988334,169.59322916666667,35.3515625,217.765625,0.22374499561918446,15.000131,1016
mouse_0,144.57571018014642,0.5429757805961701,1.6005833333333335,1.7446700000000002,1.496,1.745,0.05456431657500615,31.580729166666668,12.7265625,60.8046875,0.5518169205171324,1.160445,14
mouse_2,208.60905050967247,0.8674847482187424,1.664777777777778,1.82312,1.435,1.826,0.08668334376767578,40.693576388888886,7.0703125,94.7421875,0.7470593503614943,0.804242,22
