Flow,Avg_Throughput_Mbps,Throughput_CoV,P50_RTT_ms,P99_RTT_ms,Min_RTT,Max_RTT,RTT_CoV,Mean_Cwnd,Min_Cwnd,Max_Cwnd,Cwnd_CoV,FCT_s,Retransmissions
mouse_1,332.63839101608346,0.458404491917287,1.7996666666666667,2.0597000000000003,1.652,2.067,0.09002604457275612,81.07291666666667,52.3203125,120.1953125,0.30939848129418773,0.504368,420
elephant,777.7538164844823,0.19278913721181523,1.7604400000000002,2.5113899999999996,1.2,4.019,0.19327053427714525,186.59026041666667,49.4921875,482.1953125,0.32027704065857937,15.000192,4779
mouse_0,388.1108265726533,0.20461296020983466,1.7992000000000001,1.95452,1.657,1.957,0.07129064561472054,93.6109375,57.9765625,125.8515625,0.26303080192965456,0.432279,179
mouse_2,865.4205568909842,0.029308609786550685,1.756,1.84322,1.667,1.845,0.07167711107699624,222.71484375,190.8984375,254.53125,0.20203050891044216,0.193862,326
