Flow,Avg_Throughput_Mbps,Throughput_CoV,P50_RTT_ms,P99_RTT_ms,Min_RTT,Max_RTT,RTT_CoV,Mean_Cwnd,Min_Cwnd,Max_Cwnd,Cwnd_CoV,FCT_s,Retransmissions
mouse_1,268.6964139572353,0.8394911381329233,1.5832857142857144,1.7751,1.343,1.776,0.11451779004662124,50.098214285714285,25.453125,117.3671875,0.6783707476849242,0.624393,211
elephant,786.3545983528289,0.17364202673467707,1.6193599999999997,2.1806399999999995,1.166,2.286,0.14519575225506906,167.81151041666666,29.6953125,260.1875,0.30660464901560264,15.000143,4670
mouse_0,405.13618263614035,0.3484917508996927,1.4631999999999998,1.6917600000000002,1.302,1.697,0.11441686333203932,73.8140625,66.4609375,80.6015625,0.07090710928475764,0.414113,363
mouse_2,514.839093757384,0.2412213266107113,1.6105,1.68638,1.542,1.688,0.039769922418485565,96.15625,59.390625,158.375,0.45294754260868664,0.325873,215
