Flow,Avg_Throughput_Mbps,Throughput_CoV,P50_RTT_ms,P99_RTT_ms,Min_RTT,Max_RTT,RTT_CoV,Mean_Cwnd,Min_Cwnd,Max_Cwnd,Cwnd_CoV,FCT_s,Retransmissions
mouse_1,752.122296191693,0.13908625822753456,1.7306666666666668,1.89374,1.513,1.896,0.11370767003588618,200.796875,142.8203125,237.5625,0.25303160877777015,0.223065,33
elephant,763.355541773474,0.2056937270585841,1.5984399999999999,2.034,1.191,2.265,0.12613958375457227,166.58598958333334,55.1484375,260.1875,0.2964780859942184,15.000153,4318
mouse_0,307.9512702803409,0.266269234435164,1.5810000000000002,1.8079,1.33,1.81,0.11599087249334453,54.205729166666664,33.9375,84.84375,0.3498635975090918,0.544801,140
mouse_2,382.02360377715087,0.22184630724672996,1.5416,1.7175200000000002,1.371,1.723,0.08329574626697411,87.9546875,50.90625,121.609375,0.29103675268680557,0.439167,86
