Flow,Avg_Throughput_Mbps,Throughput_CoV,P50_RTT_ms,P99_RTT_ms,Min_RTT,Max_RTT,RTT_CoV,Mean_Cwnd,Min_Cwnd,Max_Cwnd,Cwnd_CoV,FCT_s,Retransmissions
mouse_3,260.7676358221761,0.26176696722372156,1.4275714285714283,1.5248,1.331,1.526,0.05585630106041302,50.098214285714285,41.0078125,62.21875,0.17915209589937955,0.643378,1
mouse_1,223.97812713602184,0.19004993375909718,1.3875000000000002,1.4782899999999999,1.312,1.482,0.03765919710141512,40.654296875,26.8671875,50.90625,0.22135516628448446,0.749056,0
elephant,820.6783154093788,0.22485102787531444,1.5220333333333331,1.78351,1.296,1.785,0.08763672906859503,167.01963541666666,32.5234375,202.2109375,0.24253440454599673,15.000131,0
mouse_0,210.42564959946017,0.13482972482532968,1.4627500000000002,1.57334,1.327,1.576,0.05937280301576065,39.947265625,33.9375,48.078125,0.13742278879090963,0.797299,0
mouse_2,202.8355260453566,0.3787662878526786,1.4366666666666668,1.4914800000000001,1.396,1.493,0.02349896773697654,41.16493055555556,21.2109375,80.6015625,0.43500149195293797,0.827134,0
mouse_4,239.9398191714839,0.31740446749808565,1.4591428571428573,1.60508,1.279,1.61,0.07873730303882452,46.86607142857143,22.625,79.1875,0.3680657602715373,0.699226,1
