Flow,Avg_Throughput_Mbps,Throughput_CoV,P50_RTT_ms,P99_RTT_ms,Min_RTT,Max_RTT,RTT_CoV,Mean_Cwnd,Min_Cwnd,Max_Cwnd,Cwnd_CoV,FCT_s,Retransmissions
mouse_1,389.9737340021478,0.30776431477942057,1.3746,1.5145199999999999,1.239,1.517,0.08331141224502783,62.5015625,43.8359375,80.6015625,0.25315114444704734,0.430214,133
elephant,726.5871111624588,0.17433213664413394,1.4613999999999998,1.7890599999999999,1.179,1.847,0.08536526793044731,139.21916666666667,25.453125,213.5234375,0.27243572486547635,15.000127,5563
mouse_0,201.52497318360196,0.2161651475061049,1.4425555555555556,1.57148,1.349,1.577,0.047523247890666455,51.377604166666664,32.5234375,72.1171875,0.2518762185925201,0.832513,399
mouse_2,334.95346209286816,1.3449121849577146,1.4245,1.5499,1.355,1.552,0.05920950419592507,63.868489583333336,19.796875,104.640625,0.5829931328119312,0.500882,153
