Flow,Avg_Throughput_Mbps,Throughput_CoV,P50_RTT_ms,P99_RTT_ms,Min_RTT,Max_RTT,RTT_CoV,Mean_Cwnd,Min_Cwnd,Max_Cwnd,Cwnd_CoV,FCT_s,Retransmissions
mouse_1,762.9718090162033,0.3362481375024525,1.2830000000000001,1.4382599999999999,1.152,1.442,0.11458581824833663,107.46875,69.2890625,135.75,0.31933318682925255,0.219893,35
elephant,846.5438107278636,0.10354330444634907,2.12598,2.4901,1.34,2.507,0.15818897491674905,227.59807291666667,45.25,265.84375,0.19641808374844424,15.000116,844
mouse_0,40.85418407255232,1.346296813355509,2.3723095238095233,3.1207899999999995,1.529,3.154,0.1856016801065065,8.989397321428571,2.828125,45.25,1.0628147946246747,4.106609,8
mouse_2,192.39904541393872,0.5388624025105315,1.9003333333333334,2.1734,1.532,2.183,0.10535120027435932,41.950520833333336,4.2421875,97.5703125,0.7544841332224513,0.872001,22
