Flow,Avg_Throughput_Mbps,Throughput_CoV,P50_RTT_ms,P99_RTT_ms,Min_RTT,Max_RTT,RTT_CoV,Mean_Cwnd,Min_Cwnd,Max_Cwnd,Cwnd_CoV,FCT_s,Retransmissions
mouse_1,254.8175959635541,0.4198903220272268,1.8295714285714286,1.95142,1.711,1.954,0.04749015221730122,70.50111607142857,41.0078125,114.5390625,0.3666390373507619,0.658401,17
elephant,819.8385874485097,0.1527008388067133,1.7605600000000001,2.33891,1.162,2.362,0.1381505862282113,199.01515625,62.21875,261.6015625,0.2522298478931139,15.000147,1243
mouse_0,344.72574550580157,0.3983601599313658,1.6547999999999998,1.76072,1.528,1.762,0.059262342164488994,82.2984375,28.28125,113.125,0.4019296637034624,0.486683,36
mouse_2,304.9321785912268,0.40149373576052777,1.6823333333333332,1.8565500000000001,1.551,1.862,0.06606238482317463,67.875,42.421875,90.5,0.2703521366251389,0.550195,15
