Flow,Avg_Throughput_Mbps,Throughput_CoV,P50_RTT_ms,P99_RTT_ms,Min_RTT,Max_RTT,RTT_CoV,Mean_Cwnd,Min_Cwnd,Max_Cwnd,Cwnd_CoV,FCT_s,Retransmissions
mouse_1,449.51292899035724,0.27135934967889486,1.5957499999999998,1.74044,1.371,1.742,0.10299231223770655,85.904296875,59.390625,113.125,0.3564524074787306,0.373231,272
elephant,759.7211231547757,0.18248982188434515,1.6058666666666666,1.9893399999999997,1.105,2.106,0.12242188338098031,167.65125,42.421875,257.359375,0.3035296702008105,15.000141,4773
mouse_0,347.326323547374,0.24522473332357025,1.587,1.80688,1.402,1.813,0.09833502308990512,56.8453125,31.109375,93.328125,0.41191506159626196,0.483039,157
mouse_2,377.0813376696642,0.20784900809768161,1.6387999999999998,1.866,1.497,1.874,0.08901159649950634,82.8640625,50.90625,127.265625,0.4101957465667603,0.444923,83
