Flow,Avg_Throughput_Mbps,Throughput_CoV,P50_RTT_ms,P99_RTT_ms,Min_RTT,Max_RTT,RTT_CoV,Mean_Cwnd,Min_Cwnd,Max_Cwnd,Cwnd_CoV,FCT_s,Retransmissions
mouse_1,323.52535313117676,0.31046017715708385,1.7408333333333335,2.00295,1.378,2.006,0.1402090891727142,72.1171875,39.59375,100.3984375,0.3209942263479392,0.518575,38
elephant,802.3622780864005,0.18495328989974982,1.7271866666666669,2.34259,1.197,2.5,0.15047552436718717,191.27552083333333,56.5625,264.4296875,0.28722722990375327,15.000151,1519
mouse_0,456.8000718803518,0.12655413559406822,1.6675,1.80232,1.59,1.807,0.05773859559378369,102.166015625,84.84375,117.3671875,0.14221972449179565,0.367277,25
mouse_2,495.43509845379697,0.2195740256443235,1.56975,1.71968,1.414,1.721,0.09674877017810712,98.630859375,83.4296875,111.7109375,0.12896586636572172,0.338636,10
