Flow,Avg_Throughput_Mbps,Throughput_CoV,P50_RTT_ms,P99_RTT_ms,Min_RTT,Max_RTT,RTT_CoV,Mean_Cwnd,Min_Cwnd,Max_Cwnd,Cwnd_CoV,FCT_s,Retransmissions
mouse_1,209.10018408356422,1.7041928855901691,84.04011111111112,107.18624,72.233,107.208,0.17211891709959998,3113.6085069444443,28.28125,9173.0234375,1.2273074151141856,0.802353,0
elephant,891.3522554016561,0.14403064170584307,69.08357333333333,136.74493999999999,20.419,140.083,0.32837255533213866,14823.372083333334,175.34375,16410.1953125,0.25944199774776044,15.000122,0
mouse_0,453.7546721768152,0.7093133517009073,56.20725,95.34356,22.229,96.083,0.6009455153745459,4272.58984375,197.96875,8939.703125,0.9354355138104539,0.369742,0
mouse_2,210.07626858663326,1.2237520920005254,81.353625,106.03421,72.1,107.098,0.15111547356750196,2261.2626953125,28.28125,8528.2109375,1.3817645777123564,0.798625,0
