Flow,Avg_Throughput_Mbps,Throughput_CoV,P50_RTT_ms,P99_RTT_ms,Min_RTT,Max_RTT,RTT_CoV,Mean_Cwnd,Min_Cwnd,Max_Cwnd,Cwnd_CoV,FCT_s,Retransmissions
mouse_1,334.1409281019717,0.36964080242374736,1.475666666666667,1.5636,1.387,1.566,0.043879018096323566,70.23177083333333,55.1484375,93.328125,0.2507230209648605,0.5021,1
elephant,792.4367566316408,0.1496948020143971,1.5750333333333333,1.9071999999999998,1.151,1.927,0.11056460682442432,163.17338541666666,70.703125,209.28125,0.2377823381734947,15.000134,1393
mouse_0,290.8968843900468,0.43346906058057794,1.5236666666666665,1.8002500000000001,1.417,1.812,0.10013487336417354,62.454427083333336,26.8671875,97.5703125,0.4126514738554129,0.576741,13
mouse_2,322.3430814425998,0.1929136507170485,1.4766666666666666,1.67355,1.268,1.681,0.09166575679455397,60.8046875,43.8359375,89.0859375,0.2724009388715595,0.520477,36
