Flow,Avg_Throughput_Mbps,Throughput_CoV,P50_RTT_ms,P99_RTT_ms,Min_RTT,Max_RTT,RTT_CoV,Mean_Cwnd,Min_Cwnd,Max_Cwnd,Cwnd_CoV,FCT_s,Retransmissions
mouse_1,364.2090272833052,0.17486503687745816,1.6074000000000002,1.68052,1.513,1.682,0.03941185248113943,75.5109375,49.4921875,90.5,0.2145809215075838,0.460648,11
elephant,801.5934369718593,0.16903597148126753,1.6109933333333333,1.9060599999999999,1.119,1.95,0.11352633190542108,172.30822916666668,55.1484375,248.875,0.25186844590010743,15.000149,1129
mouse_0,564.7734303728863,0.11012515648098607,1.641,1.7173,1.522,1.718,0.06370036054934584,103.69791666666667,91.9140625,124.4375,0.17374104412378538,0.297061,52
mouse_2,344.45325909318615,0.09714862118214021,1.6469999999999998,1.78068,1.381,1.782,0.09787692034466443,71.834375,65.046875,79.1875,0.07151929970309036,0.487068,22
