Flow,Avg_Throughput_Mbps,Throughput_CoV,P50_RTT_ms,P99_RTT_ms,Min_RTT,Max_RTT,RTT_CoV,Mean_Cwnd,Min_Cwnd,Max_Cwnd,Cwnd_CoV,FCT_s,Retransmissions
mouse_1,40.43057270565418,0.5183838534406511,20.28747619047619,20.60084,20.167,20.632,0.005479242989622938,101.98084077380952,18.3828125,172.515625,0.5084563543448626,4.149636,0
elephant,803.5510808130297,0.12493437795073083,20.456166666666668,24.806659999999997,20.103,24.987,0.04769218231766401,2185.6975520833334,197.96875,5735.4375,0.3895581575872106,15.000143,0
mouse_0,45.289968685887054,1.0553065628960512,20.265710526315786,20.58436,20.164,20.611,0.004885063971651634,114.3157894736842,14.140625,199.3828125,0.5392827840159371,3.7044,0
mouse_2,37.64017514784297,0.6040198607851919,20.283666666666665,20.69144,20.165,20.823,0.005467354070846941,94.96215277777777,19.796875,205.0390625,0.586096281833968,4.457263,0
