Flow,Avg_Throughput_Mbps,Throughput_CoV,P50_RTT_ms,P99_RTT_ms,Min_RTT,Max_RTT,RTT_CoV,Mean_Cwnd,Min_Cwnd,Max_Cwnd,Cwnd_CoV,FCT_s,Retransmissions
mouse_1,186.33152524000553,0.7335661456431863,68.021,80.74936,57.083,80.966,0.14564630860740857,1425.8463541666667,28.28125,2590.5625,0.7530030853913137,0.900396,0
elephant,898.412070667916,0.14193673149688213,68.89561333333333,95.85118999999999,20.092,102.005,0.13701721951235515,7676.01203125,226.25,8564.9765625,0.12401564608780186,15.000131,700
mouse_0,166.47812553025335,1.112314866115999,83.62036363636363,103.3488,71.718,103.526,0.1435785047222276,1767.4495738636363,28.28125,3792.515625,0.8693468809936606,1.007773,343
mouse_2,167.78340148789968,0.6724956797520647,74.2688,86.01574000000001,63.289,86.197,0.12740738805657567,1415.33515625,28.28125,2567.9375,0.7434719088084986,0.999933,0
