Flow,Avg_Throughput_Mbps,Throughput_CoV,P50_RTT_ms,P99_RTT_ms,Min_RTT,Max_RTT,RTT_CoV,Mean_Cwnd,Min_Cwnd,Max_Cwnd,Cwnd_CoV,FCT_s,Retransmissions
mouse_1,204.96638506600206,0.8744417262649369,2.3752222222222223,2.6308399999999996,2.157,2.647,0.06407455575237414,76.51649305555556,21.2109375,173.9296875,0.7803739279891474,0.818535,15
elephant,829.6952711920632,0.12118747547101975,2.102273333333333,2.43857,1.264,2.579,0.14957753464481796,230.79385416666668,63.6328125,282.8125,0.1966790046144976,15.000144,869
mouse_0,157.1745113947009,0.4763340965124063,2.350818181818182,2.4831,2.002,2.484,0.06059347701512255,47.30681818181818,25.453125,96.15625,0.48297607687312843,1.067426,11
mouse_2,142.74120502757032,0.43251533600189757,2.3180833333333335,2.5950900000000003,1.815,2.615,0.08147225462565488,43.482421875,22.625,97.5703125,0.46985961875772003,1.175359,15
