Flow,Avg_Throughput_Mbps,Throughput_CoV,P50_RTT_ms,P99_RTT_ms,Min_RTT,Max_RTT,RTT_CoV,Mean_Cwnd,Min_Cwnd,Max_Cwnd,Cwnd_CoV,FCT_s,Retransmissions
mouse_1,234.6920030607349,0.3581013670710137,1.9408750000000001,2.11809,1.605,2.119,0.09720488896305457,64.5166015625,35.3515625,96.15625,0.3299002001001371,0.714861,13
elephant,824.4550797541563,0.1461911075887502,1.8900066666666673,2.37851,1.2,2.424,0.14847717839103358,212.1659375,82.015625,267.2578125,0.22277419251042072,15.000096,1052
mouse_0,303.66771284702236,0.2678457211036416,1.9966666666666668,2.1611,1.782,2.162,0.0747675403411823,83.66536458333333,45.25,108.8828125,0.28591202384629605,0.552486,11
mouse_2,380.358975172811,0.14532713331085803,1.8067999999999997,1.99956,1.395,2.001,0.13603549581782917,84.278125,60.8046875,100.3984375,0.17977309041582382,0.441089,56
