Flow,Avg_Throughput_Mbps,Throughput_CoV,P50_RTT_ms,P99_RTT_ms,Min_RTT,Max_RTT,RTT_CoV,Mean_Cwnd,Min_Cwnd,Max_Cwnd,Cwnd_CoV,FCT_s,Retransmissions
mouse_1,26.82595206759599,1.0210426824581957,2.264984126984127,3.106440000000001,1.273,3.409,0.19763255025993084,5.386904761904762,1.4140625,22.625,0.9356594836556937,6.254099,11
elephant,823.8170959337564,0.1079735083780205,1.943633333333333,2.4320999999999997,1.196,2.448,0.17370577901521675,202.68229166666666,57.9765625,257.359375,0.23689601875793984,15.000257,1084
mouse_0,26.826552588528322,1.1892281738744188,2.2793968253968253,3.766940000000003,1.313,4.488,0.2287197496945134,6.823412698412699,2.828125,42.421875,1.084231941680304,6.253959,20
mouse_2,30.964882248401345,1.7192803621905604,2.235618181818182,2.8813000000000004,1.37,2.938,0.18544021659382617,8.432954545454546,2.828125,83.4296875,1.7628027806121687,5.418143,10
