Flow,Avg_Throughput_Mbps,Throughput_CoV,P50_RTT_ms,P99_RTT_ms,Min_RTT,Max_RTT,RTT_CoV,Mean_Cwnd,Min_Cwnd,Max_Cwnd,Cwnd_CoV,FCT_s,Retransmissions
mouse_0,330.960516841742,0.46341336770959324,1.3644999999999998,1.5397500000000002,1.193,1.546,0.08771896133423394,74.00260416666667,43.8359375,106.0546875,0.3335293620786254,0.506925,0
mouse_1,347.49322192925956,0.34218256086819715,1.4080000000000001,1.49784,1.208,1.499,0.08221014902939248,74.9453125,39.59375,90.5,0.2743969730613016,0.482807,28
elephant,824.9428722055898,0.16194648326958713,1.4812733333333334,1.7616299999999998,1.127,1.799,0.10642316981691344,163.10739583333333,38.1796875,212.109375,0.23723746067508325,15.000124,1234
mouse_2,401.9043558042655,0.29251504787436494,1.4578000000000002,1.53584,1.228,1.536,0.08946311134696251,82.58125,57.9765625,94.7421875,0.17571196619678497,0.417443,34
