Flow,Avg_Throughput_Mbps,Throughput_CoV,P50_RTT_ms,P99_RTT_ms,Min_RTT,Max_RTT,RTT_CoV,Mean_Cwnd,Min_Cwnd,Max_Cwnd,Cwnd_CoV,FCT_s,Retransmissions
mouse_1,270.004071654685,0.4538338423045881,1.587,1.82836,1.248,1.837,0.12334959058263202,65.65290178571429,38.1796875,117.3671875,0.441907288106964,0.621369,229
elephant,777.0565878743803,0.16085437345949846,1.5799066666666666,1.9387099999999997,1.18,1.954,0.12366012318141055,167.03848958333333,50.90625,254.53125,0.30096413281097606,15.000157,4900
mouse_0,289.14668615312496,0.4153582492321961,1.7078333333333333,2.02615,1.41,2.037,0.14144883686022441,69.2890625,29.6953125,115.953125,0.5520021488589119,0.580232,159
mouse_2,377.27297463216524,0.2853498605686352,1.4924,1.5898,1.367,1.59,0.06487255728687176,68.440625,35.3515625,106.0546875,0.3853181151464102,0.444697,99
