Flow,Avg_Throughput_Mbps,Throughput_CoV,P50_RTT_ms,P99_RTT_ms,Min_RTT,Max_RTT,RTT_CoV,Mean_Cwnd,Min_Cwnd,Max_Cwnd,Cwnd_CoV,FCT_s,Retransmissions
mouse_3,170.16036066188963,0.19344716931776038,1.3168,1.36828,1.27,1.369,0.029987721873054533,32.09921875,24.0390625,56.5625,0.2824960831466387,0.985965,0
mouse_1,162.11264543521136,0.4461966622770512,1.348909090909091,1.4252,1.291,1.429,0.02966925721828284,32.65198863636363,16.96875,77.7734375,0.5173174414560855,1.034911,0
elephant,826.1293208958652,0.23073541093677985,1.5263733333333334,1.8114999999999997,1.227,1.875,0.09272347069486961,165.82239583333333,19.796875,212.109375,0.25248138677623283,15.000159,0
mouse_0,174.24211833813152,0.20384623192851897,1.3469000000000002,1.41337,1.299,1.414,0.031359869278793404,31.9578125,18.3828125,41.0078125,0.24432187894806676,0.962868,0
mouse_2,177.78501186843,0.14314410527493374,1.3740999999999999,1.46805,1.322,1.473,0.03274682143418919,31.3921875,22.625,38.1796875,0.16003498611981054,0.94368,0
mouse_4,339.9803840510987,0.12536721641662302,1.4946000000000002,1.66052,1.369,1.667,0.07436916096443581,66.74375,55.1484375,83.4296875,0.154530360413648,0.493476,0
