Flow,Avg_Throughput_Mbps,Throughput_CoV,P50_RTT_ms,P99_RTT_ms,Min_RTT,Max_RTT,RTT_CoV,Mean_Cwnd,Min_Cwnd,Max_Cwnd,Cwnd_CoV,FCT_s,Retransmissions
mouse_0,131.38959328251258,0.31533687336777205,27.094692307692313,36.7904,15.458,36.836,0.31466653943804535,389.30228365384613,247.4609375,585.421875,0.2713280927473877,1.276906,320
mouse_1,401.24209579749936,0.5205348196707896,30.139,35.08724,18.078,35.09,0.23517374457502138,1543.8734375,356.34375,2077.2578125,0.45448461980239274,0.418132,0
elephant,865.9049976610245,0.12867741198962718,15.7404,55.90082999999998,4.072,58.923,0.7582554619578826,1679.7177083333333,483.609375,6742.25,0.7468387113660866,15.000157,3452
mouse_2,366.15966162804403,0.4247531366738602,23.3214,34.550039999999996,4.352,34.669,0.5144013196375381,1013.3171875,192.3125,1835.453125,0.710579317667262,0.458194,931
