Flow,Avg_Throughput_Mbps,Throughput_CoV,P50_RTT_ms,P99_RTT_ms,Min_RTT,Max_RTT,RTT_CoV,Mean_Cwnd,Min_Cwnd,Max_Cwnd,Cwnd_CoV,FCT_s,Retransmissions
mouse_1,65.15393326322362,0.2661570185933409,20.678346153846157,22.1775,20.204,22.345,0.022842418149795613,164.08563701923077,117.3671875,226.25,0.15388042965551926,2.575012,0
elephant,861.5034367403184,0.11923799120231174,21.18878,25.48237999999999,20.103,26.884,0.0714902724240605,2655.703645833333,178.171875,6141.2734375,0.4663950908055053,15.000115,0
mouse_0,42.56895259447283,0.5528852745447984,20.824925,25.54165,20.201,26.035,0.055306008582370274,112.2412109375,2.828125,210.6953125,0.5498094900510371,3.941186,0
mouse_2,84.45726447967606,0.5914962711941161,20.427550000000004,21.05648,20.155,21.077,0.011734095312257295,192.0296875,128.6796875,251.703125,0.20052410961751999,1.986474,0
