Flow,Avg_Throughput_Mbps,Throughput_CoV,P50_RTT_ms,P99_RTT_ms,Min_RTT,Max_RTT,RTT_CoV,Mean_Cwnd,Min_Cwnd,Max_Cwnd,Cwnd_CoV,FCT_s,Retransmissions
mouse_1,108.35446962083853,0.4235044009428778,20.512749999999997,21.101,20.259,21.119,0.01292737649294447,256.298828125,192.3125,291.296875,0.11723759290707932,1.548364,0
elephant,826.3396949376563,0.14354949226327196,20.911659999999998,24.98531,20.101,25.129,0.07261252310347024,2514.2596875,197.96875,5892.3984375,0.505476901833314,15.000147,0
mouse_0,43.96134951770747,0.6304859331272814,20.559051282051282,23.316860000000002,20.168,23.356,0.035525677975028994,112.18229166666667,2.828125,223.421875,0.6148879151292227,3.816356,0
mouse_2,153.9716784596606,0.38731302587846955,20.407363636363637,20.762999999999998,20.17,20.773,0.009458773805076173,367.14204545454544,195.140625,414.3203125,0.1642064285792405,1.08963,0
