Flow,Avg_Throughput_Mbps,Throughput_CoV,P50_RTT_ms,P99_RTT_ms,Min_RTT,Max_RTT,RTT_CoV,Mean_Cwnd,Min_Cwnd,Max_Cwnd,Cwnd_CoV,FCT_s,Retransmissions
mouse_1,829.3932757572312,0.2702619711635825,1.4466666666666665,1.75932,1.238,1.768,0.1952019555128653,146.59114583333334,104.640625,229.078125,0.487337197927285,0.202283,469
elephant,782.1588221788389,0.20655079886766303,1.6533066666666665,2.4099699999999986,1.218,2.482,0.16272398128183804,174.70270833333333,42.421875,272.9140625,0.3146350883240184,15.000172,4576
mouse_0,623.4403415741695,0.14366614858308321,1.835,1.9851400000000001,1.72,1.989,0.07557268725019377,159.31770833333334,132.921875,179.5859375,0.15018982421890006,0.269107,457
mouse_2,343.3387973780771,0.15128862799900353,1.6762000000000001,1.80768,1.441,1.808,0.09451384937720493,80.31875,62.21875,94.7421875,0.17623230642594645,0.488649,162
