Flow,Avg_Throughput_Mbps,Throughput_CoV,P50_RTT_ms,P99_RTT_ms,Min_RTT,Max_RTT,RTT_CoV,Mean_Cwnd,Min_Cwnd,Max_Cwnd,Cwnd_CoV,FCT_s,Retransmissions
mouse_1,154.60221565703944,0.8365272692116342,20.876090909090912,25.709300000000002,20.186,26.254,0.0858404307938455,330.890625,197.96875,890.859375,0.5687936259407311,1.085186,0
elephant,542.1800463876876,0.3877922997788701,20.952693333333333,26.932659999999995,20.093,27.486,0.08330052593968333,1792.04140625,226.25,5732.609375,0.8638264383365696,15.000101,90
mouse_0,42.520575719713,0.6158144773259367,20.776075,26.94212,20.149,27.173,0.08201173410577627,109.9080078125,7.0703125,214.9375,0.5613852150877198,3.94567,0
mouse_2,406.99862694011426,0.5600485036498513,22.220000000000002,29.008599999999998,20.239,29.362,0.1797547214021252,941.4828125,197.96875,1590.8203125,0.5250515449237616,0.412218,135
