Flow,Avg_Throughput_Mbps,Throughput_CoV,P50_RTT_ms,P99_RTT_ms,Min_RTT,Max_RTT,RTT_CoV,Mean_Cwnd,Min_Cwnd,Max_Cwnd,Cwnd_CoV,FCT_s,Retransmissions
mouse_1,355.8966243606904,0.3016799327383353,1.5037999999999998,1.6596,1.382,1.664,0.07476007227278231,82.58125,52.3203125,111.7109375,0.2673646608805731,0.471407,4
elephant,812.917457536114,0.17655970351520095,1.7247866666666667,2.36265,1.207,2.387,0.1437432395607466,192.51989583333332,39.59375,261.6015625,0.27607869294971765,15.000158,1028
mouse_0,434.8208852328155,0.13510931543844923,1.688,1.9288399999999999,1.502,1.937,0.10746887460844633,90.853515625,73.53125,104.640625,0.17067480310864833,0.385842,11
mouse_2,456.9132810074458,0.3488525685321439,1.5070000000000001,1.67627,1.411,1.682,0.08042256777636227,68.935546875,41.0078125,101.8125,0.38096271236108037,0.367186,41
