Flow,Avg_Throughput_Mbps,Throughput_CoV,P50_RTT_ms,P99_RTT_ms,Min_RTT,Max_RTT,RTT_CoV,Mean_Cwnd,Min_Cwnd,Max_Cwnd,Cwnd_CoV,FCT_s,Retransmissions
mouse_1,62.603841483755744,0.9304795574085161,2.087296296296296,2.32258,1.699,2.327,0.07652161035107176,13.669270833333334,5.65625,43.8359375,0.9805573560158745,2.679902,29
elephant,831.4424376499651,0.11451291794752573,1.9758933333333335,2.4540099999999994,1.189,2.494,0.17137894861609804,212.44875,63.6328125,265.84375,0.235353130166469,15.000152,979
mouse_0,184.33482869288434,0.3462169964028467,1.7931000000000001,2.15381,1.258,2.162,0.1531494237136224,36.2,2.828125,46.6640625,0.34996744640275707,0.910149,39
mouse_2,760.8369688449503,0.36962594441712626,1.3396666666666668,1.36252,1.317,1.363,0.017173858100758808,89.55729166666667,63.6328125,113.125,0.27725404612770366,0.22051,15
