Flow,Avg_Throughput_Mbps,Throughput_CoV,P50_RTT_ms,P99_RTT_ms,Min_RTT,Max_RTT,RTT_CoV,Mean_Cwnd,Min_Cwnd,Max_Cwnd,Cwnd_CoV,FCT_s,Retransmissions
mouse_1,149.56381274498702,0.6817107655019304,20.786833333333334,24.830520000000003,20.204,25.355,0.06935680675993448,342.7923177083333,226.25,581.1796875,0.24167289261189817,1.121743,0
elephant,756.8557992112867,0.16273715927934346,20.9675,26.088429999999995,20.108,28.01,0.08551142816072936,2343.1109895833333,226.25,5779.2734375,0.5687880645269893,15.000126,0
mouse_0,43.27725616906417,0.5936424585575877,20.781128205128205,25.85576,20.175,25.912,0.07134447007016097,110.51442307692308,7.0703125,219.1796875,0.5686840234379399,3.876682,0
mouse_2,202.68702732742165,0.672142245684665,21.040444444444447,26.21588,20.156,26.709,0.10125357461789848,438.51649305555554,197.96875,803.1875,0.3552807231528992,0.82774,32
