Flow,Avg_Throughput_Mbps,Throughput_CoV,P50_RTT_ms,P99_RTT_ms,Min_RTT,Max_RTT,RTT_CoV,Mean_Cwnd,Min_Cwnd,Max_Cwnd,Cwnd_CoV,FCT_s,Retransmissions
mouse_1,676.421547480335,0.8743806880116436,22.515666666666664,25.89798,19.88,25.984,0.13928227232455864,3466.8098958333335,172.515625,6545.6953125,0.9207443634063044,0.248029,0
elephant,40.82402822096646,3.3775445263206803,20.571693333333332,22.79775,19.115,24.552,0.03319898468125863,103.961875,4.2421875,4820.5390625,4.148102157093143,15.000195,181
mouse_0,510.15045550190354,0.8904549657972517,21.384249999999998,23.088289999999997,20.454,23.147,0.05674738532740269,922.67578125,234.734375,2512.7890625,1.1636645467680589,0.328868,139
mouse_2,715.4127524934864,0.783827737607023,22.876666666666665,26.19596,19.936,26.273,0.1395736219723716,2806.9140625,231.90625,5387.578125,0.9183895673930186,0.234511,5
