Flow,Avg_Throughput_Mbps,Throughput_CoV,P50_RTT_ms,P99_RTT_ms,Min_RTT,Max_RTT,RTT_CoV,Mean_Cwnd,Min_Cwnd,Max_Cwnd,Cwnd_CoV,FCT_s,Retransmissions
mouse_1,697.3943550733674,0.8273534255748617,23.29733333333333,26.50812,19.702,26.567,0.14783097112392177,3068.0442708333335,299.78125,5681.703125,0.8781782713856361,0.24057,45
elephant,45.7872173278791,3.239599009737838,20.697013333333334,22.63282999999999,19.541,25.016,0.03551966420723795,116.19822916666666,7.0703125,4707.4140625,3.7880045438829812,15.000197,590
mouse_0,717.6190598400274,0.7935179747091586,22.306,25.15716,20.148,25.231,0.11776511558349999,3850.0208333333335,213.5234375,6718.2109375,0.8622571809918509,0.23379,4
mouse_2,12.75189436578289,0.5603010087606553,20.564977272727276,22.035709999999998,19.262,23.668,0.029059012567818968,31.53787878787879,7.0703125,67.875,0.4395180890815294,13.156646,95
