Flow,Avg_Throughput_Mbps,Throughput_CoV,P50_RTT_ms,P99_RTT_ms,Min_RTT,Max_RTT,RTT_CoV,Mean_Cwnd,Min_Cwnd,Max_Cwnd,Cwnd_CoV,FCT_s,Retransmissions
mouse_1,307.11190027274887,0.357771261224485,1.6775,1.7662,1.497,1.768,0.056559369988586614,72.58854166666667,26.8671875,104.640625,0.3691374254391465,0.54629,5
elephant,802.7798311300941,0.17479947319501762,1.6750466666666668,1.97855,1.027,2.34,0.11973701358177315,178.43583333333333,50.90625,251.703125,0.26094597745142023,15.000186,1340
mouse_0,369.90232781694954,0.48328753629259036,1.6047999999999998,1.72288,1.505,1.726,0.05472101539481184,87.10625,38.1796875,123.0234375,0.38288981825003915,0.453558,20
mouse_2,423.978630761494,0.37274182919976107,1.6265,1.69041,1.558,1.692,0.0341006477042108,95.095703125,53.734375,128.6796875,0.3361110157761691,0.395709,11
