Flow,Avg_Throughput_Mbps,Throughput_CoV,P50_RTT_ms,P99_RTT_ms,Min_RTT,Max_RTT,RTT_CoV,Mean_Cwnd,Min_Cwnd,Max_Cwnd,Cwnd_CoV,FCT_s,Retransmissions
mouse_1,301.15160239956055,0.43908366955029055,1.5264999999999997,1.6437499999999998,1.352,1.646,0.06680250003162186,65.98958333333333,22.625,91.9140625,0.38300636750714784,0.557102,10
elephant,793.8327815285863,0.15931918573857948,1.5820533333333335,1.929549999999999,1.154,2.019,0.10423340761579795,164.70057291666666,42.421875,206.453125,0.2317491049231182,15.000173,1253
mouse_0,330.6565548068452,0.31667899965654894,1.494,1.70325,1.358,1.712,0.08672694663296389,64.81119791666667,38.1796875,87.671875,0.3052726731279393,0.507391,34
mouse_2,382.4886864417406,0.23750617982218372,1.4342,1.4988000000000001,1.378,1.499,0.04024000632930963,72.6828125,59.390625,91.9140625,0.1699413836725483,0.438633,20
