Flow,Avg_Throughput_Mbps,Throughput_CoV,P50_RTT_ms,P99_RTT_ms,Min_RTT,Max_RTT,RTT_CoV,Mean_Cwnd,Min_Cwnd,Max_Cwnd,Cwnd_CoV,FCT_s,Retransmissions
mouse_1,488.61028756487246,0.12239960667119708,1.661,1.7461900000000001,1.508,1.747,0.06442183792604665,98.27734375,89.0859375,115.953125,0.12896239481773383,0.343366,41
elephant,808.514670533654,0.16582586716282036,1.7039599999999997,2.2641099999999996,1.224,2.306,0.12578430316250463,186.40171875,57.9765625,257.359375,0.2796084380269332,15.000136,1172
mouse_0,312.4440794313245,0.32124578689360306,1.5656666666666668,1.69365,1.444,1.697,0.06055341891003588,73.05989583333333,28.28125,114.5390625,0.4057443924032733,0.536967,27
mouse_2,359.90329479855586,0.3082139158446436,1.7134,1.8594400000000002,1.514,1.862,0.07720278398124868,80.31875,48.078125,101.8125,0.2837184895512302,0.466159,4
